,author,content,score,time
81,Ken Rose,"Thank you Global News for allowing comments on your site. Many, many Canadians have stopped watching CBC because our nationally funded CBC will not allow comments. A grateful Canadian...",3,2020-02-20T14:49:40.000Z
82,Drowsypanther85,"At what point did we stop considering fair and easy solutions but instead let us be held hostage by constant economic threats, have we still not evolved?",0,2020-02-20T14:35:46.000Z
83,carlos soriano,Change you title!,1,2020-02-20T14:26:29.000Z
84,Debra Sands,This should make the world rethink China . Everything it seems like comes from there.VERY DANGEROUS.WAKE UP PEOPLE.,8,2020-02-20T14:06:45.000Z
85,chickensandw1tch,Could?? Bruh this is old news,0,2020-02-20T13:57:03.000Z
86,Lynzy Lioness,Gotta love the media.....that train derailment story should have come right along with the Indigenous folks protesting. There's a huge reason they're blocking the rails.,0,2020-02-20T13:46:50.000Z
87,Ready Or not,Skip ahead to 10:35 for Coronavirus update.,1,2020-02-20T13:31:24.000Z
88,Django,Haha another example of Esau encroaching on Jacob's land. Hahaha. They do not want an oil pipeline on their land. I understand it.,0,2020-02-20T13:29:27.000Z
89,sheenydonut,"All these pipeline protesters have something in common. They're sheltered bourgeois liberals, usually white and waste no thought on anything passed the immediate scare tactics and skin deep politics that have been burned into their brains. They're so self important and obnoxious that they would sooner blockade crucial resources being delivered at a time when a major viral outbreak is looming. I could say a whole lot more but I'll keep it chill for now.",2,2020-02-20T12:49:38.000Z
90,Don ta,A terrorist might kill small numbers of people but a coronavirus will kill mass numbers of people .. it will shut down entire cities or countries...,0,2020-02-20T12:36:37.000Z
91,THE VIRAL VIDEO'S,Europe is the only land whites should be that's why it's so many problens In the world God gave them a strip of land but they wanna live on Indian Land on African land on brown black territory if the pilgrims stay on their strip of land everything would be fine,1,2020-02-20T11:56:49.000Z
92,THE VIRAL VIDEO'S,He didn't go to jail for killing the kids SMH,0,2020-02-20T11:50:18.000Z
93,rusty smith,WHY does global have to wait for a YouTube video to get the news. WE can do that. Yet you hacks get paid as journalists. What a joke. Wait until your masters can’t hide it by directing you people to keep people calm with your lame govt approved message. 🤮Global 🤮 Friesen 🤮Turd boy 🤮Mainstream media and MOSTLY 🤮🇨🇦Sheeple and their “woke” politeness. It’s going to get you all killed. This COVID19 data about antibiotics being made in China is at least 3 days old. Zerohedge people. Lose these msm channels they are placating you into danger.,0,2020-02-20T11:48:51.000Z
94,Tiffany Kolesar,It takes up to 21 days to show any signs of having the virus so im not sure why they would risk everyone else.. 80% that the people they have let go who tested neg will turn positive and have spread it to others before they figure out that they have the virus..  Our government is f*cked up,0,2020-02-20T11:46:49.000Z
95,billy bob Smith,Mohawks are terrorists.  Why do the protesters all hide their faces with masks ??? Do they have criminal records??? They don't seem to work and have lots of free time on their hands to disrupt everyone else. I say blockage all supplies such as propane and food to the First Nation Lands and we will see if they like their own medicine ???,1,2020-02-20T11:37:48.000Z
96,rusty smith,Turd boy has no capital with the First Nations after his abysmal and OBVIOUSLY CORRUPT treatment of Jodi Wilson Raybold. As far as I’m concerned they should SCALP HIM.,8,2020-02-20T11:37:10.000Z
97,Thomas Lindenthal,Zu Canada und wider werden die Ureinwohner betrogen wie währe es alle raus ausser Die Ureinwohner😎,0,2020-02-20T10:17:29.000Z
98,Connie Pritchard Reinhardt,Thanks for this whole video. The pipe line should not go through natives land. It is their land! The corona virus has distracted many from other important things such as this. We all need to realize that we are headed for a stock crash that will be bad. God speed to all of us.,0,2020-02-20T10:03:10.000Z
99,James Tan,Mr. Softy,0,2020-02-20T10:02:53.000Z
